*EVALUATION : TUDU1501WH                                                              DSSAT Cropping System Model Ver. 4.8.5.000   -release    NOV 27, 2025; 15:48:13

@RUN EXCODE        TN RN CR   ADAPS   ADAPM   PD1PS   PD1PM   PDFPS   PDFPM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM   EDAPS   EDAPM
   1 TUDU1501WH     1  1 WH     102     -99     -99     -99     -99     -99     148     -99    5416    6135     -99     -99   13913     -99    38.9     -99    34.8     -99   12392     -99       0     -99    3.49     -99   0.437     -99     -99     -99     102     -99     124     -99       0     -99     1.9     -99       2     -99      35     -99    0.00     -99      12     -99
   2 TUDU1501WH     2  1 WH     102     -99     -99     -99     -99     -99     148     -99    5529    7361     -99     -99   14236     -99    38.8     -99    35.6     -99   12733     -99       0     -99    3.68     -99   0.434     -99     -99     -99     105     -99     128     -99       0     -99     1.9     -99       2     -99      35     -99    0.00     -99      12     -99
   3 TUDU1501WH     3  1 WH     102     -99     -99     -99     -99     -99     148     -99    2937    6322     -99     -99    6540     -99    44.9     -99    16.3     -99    6001     -99       0     -99    1.46     -99   0.489     -99     -99     -99      52     -99      62     -99       0     -99     1.8     -99       2     -99      35     -99    0.00     -99      12     -99
   4 TUDU1501WH     4  1 WH     102     -99     -99     -99     -99     -99     148     -99    5514    6934     -99     -99   14180     -99    38.9     -99    35.4     -99   12678     -99       0     -99    3.65     -99   0.435     -99     -99     -99     104     -99     128     -99       0     -99     1.9     -99       2     -99      35     -99    0.00     -99      12     -99
   5 TUDU1501WH     5  1 WH     102     -99     -99     -99     -99     -99     148     -99    6001    7360     -99     -99   15655     -99    38.3     -99    39.1     -99   14242     -99       0     -99    4.53     -99   0.421     -99     -99     -99     126     -99     153     -99       0     -99     2.1     -99       2     -99      35     -99    0.00     -99      12     -99
   6 TUDU1501WH     6  1 WH     102     -99     -99     -99     -99     -99     148     -99    5431    6886     -99     -99   13983     -99    38.8     -99    35.0     -99   12453     -99       0     -99    3.53     -99   0.436     -99     -99     -99     102     -99     125     -99       0     -99     1.9     -99       2     -99      35     -99    0.00     -99      12     -99
   7 TUDU1501WH     7  1 WH     102     -99     -99     -99     -99     -99     148     -99    5912    7711     -99     -99   15324     -99    38.6     -99    38.3     -99   14028     -99       0     -99    4.50     -99   0.421     -99     -99     -99     119     -99     145     -99       0     -99     2.0     -99       2     -99      35     -99    0.00     -99      12     -99
   8 TUDU1501WH     8  1 WH     102     -99     -99     -99     -99     -99     148     -99    6171    7727     -99     -99   16103     -99    38.3     -99    40.3     -99   14848     -99       0     -99    4.95     -99   0.416     -99     -99     -99     138     -99     167     -99       0     -99     2.2     -99       2     -99      35     -99    0.00     -99      12     -99
   9 TUDU1501WH     9  1 WH     102     -99     -99     -99     -99     -99     148     -99    6253    8208     -99     -99   16403     -99    38.1     -99    41.0     -99   15219     -99       0     -99    5.22     -99   0.411     -99     -99     -99     146     -99     175     -99       0     -99     2.3     -99       2     -99      35     -99    0.00     -99      12     -99
  10 TUDU1501WH    10  1 WH     102     -99     -99     -99     -99     -99     148     -99    2937    6569     -99     -99    6540     -99    44.9     -99    16.3     -99    6001     -99       0     -99    1.46     -99   0.489     -99     -99     -99      52     -99      62     -99       0     -99     1.8     -99       2     -99      35     -99    0.00     -99      12     -99
  11 TUDU1501WH    11  1 WH     102     -99     -99     -99     -99     -99     148     -99    6245    8142     -99     -99   16370     -99    38.2     -99    40.9     -99   15184     -99       0     -99    5.20     -99   0.411     -99     -99     -99     145     -99     174     -99       0     -99     2.3     -99       2     -99      35     -99    0.00     -99      12     -99
  12 TUDU1501WH    12  1 WH     102     -99     -99     -99     -99     -99     148     -99    6246    8136     -99     -99   16377     -99    38.1     -99    40.9     -99   15186     -99       0     -99    5.20     -99   0.411     -99     -99     -99     145     -99     174     -99       0     -99     2.3     -99       2     -99      35     -99    0.00     -99      12     -99
  13 TUDU1501WH    13  1 WH     102     -99     -99     -99     -99     -99     148     -99    6157    7992     -99     -99   16056     -99    38.3     -99    40.1     -99   14787     -99       0     -99    4.90     -99   0.416     -99     -99     -99     138     -99     166     -99       0     -99     2.2     -99       2     -99      35     -99    0.00     -99      12     -99
  14 TUDU1501WH    14  1 WH     102     -99     -99     -99     -99     -99     148     -99    6036    7907     -99     -99   15664     -99    38.5     -99    39.2     -99   14284     -99       0     -99    4.54     -99   0.423     -99     -99     -99     141     -99     167     -99       0     -99     2.3     -99       2     -99      35     -99    0.00     -99      12     -99
  15 TUDU1501WH    15  1 WH     102     -99     -99     -99     -99     -99     148     -99    2936    3602     -99     -99    6540     -99    44.9     -99    16.3     -99    6001     -99       0     -99    1.46     -99   0.489     -99     -99     -99      48     -99      58     -99       0     -99     1.6     -99       2     -99      35     -99    0.00     -99      12     -99
