*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  NOV 27, 2025 15:48:13

*RUN   1        : 1                         WHAPS048 TUDU1501    1
 MODEL          : WHAPS048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         WHAPS048
  
!               |---------- Daily (g/ha) ----------|------- Cumulative (kg/ha) --------|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!               Soil CO2  Net CO2      N2O      CH4 Soil CO2  Net CO2      N2O      CH4  Net CO2      N2O      CH4    Total
!                g[C]/ha  g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   CO2END   N2OGED   CH4GED    CO2EC   CO2ENC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
   15 077     1    12360     1656     0.01     0.00       12        2     0.00     0.00        6        0        0        6
   15 078     2    10520     1563     0.01     0.00       23        3     0.00     0.00       12        0        0       12
   15 079     3     8247     1344     0.01     0.00       31        5     0.00     0.00       17        0        0       17
   15 080     4     5896     1031     0.02     0.00       37        6     0.00     0.00       21        0        0       21
   15 081     5     3784      688     0.02     0.00       41        6     0.00     0.00       23        0        0       23
   15 082     6      820      250     0.02     0.00       42        7     0.00     0.00       24        0        0       24
   15 083     7      130        0     0.02     0.00       42        7     0.00     0.00       24        0        0       24
   15 084     8      146       94     0.03     0.00       42        7     0.00     0.00       24        0        0       24
   15 085     9      675      250     0.03     0.00       43        7     0.00     0.00       25        0        0       25
   15 086    10      786      219     0.03     0.00       43        7     0.00     0.00       26        0        0       26
   15 087    11     1747      406     0.03     0.00       45        8     0.00     0.00       28        0        0       28
   15 088    12     2845      656     0.04     0.00       48        8     0.00     0.00       30        0        0       30
   15 089    13     3816      813     0.04     0.00       52        9     0.00     0.00       33        0        0       33
   15 090    14     3348      531     0.03     0.00       55       10     0.00     0.00       35        0        0       35
   15 091    15     3989      656     0.03     0.00       59       10     0.00     0.00       37        0        0       37
   15 092    16     2686      469     0.03     0.00       62       11     0.00     0.00       39        0        0       39
   15 093    17     1332      281     0.02     0.00       63       11     0.00     0.00       40        0        0       40
   15 094    18       74        0     0.04     0.00       63       11     0.00     0.00       40        0        0       40
   15 095    19       14       31     0.03     0.00       63       11     0.00     0.00       40        0        0       40
   15 096    20        0        0     0.05     0.00       63       11     0.00     0.00       40        0        0       40
   15 097    21        0        0     0.06     0.00       63       11     0.00     0.00       40        0        0       40
   15 098    22        0        0     0.06     0.00       63       11     0.00     0.00       40        0        0       40
   15 099    23        0        0     0.31     0.00       63       11     0.00     0.00       40        0        0       41
   15 100    24       73       31     0.62     0.00       63       11     0.00     0.00       40        1        0       41
   15 101    25     3160      563     0.95     0.00       66       12     0.00     0.00       42        1        0       44
   15 102    26     6984     1188     1.30     0.00       73       13     0.00     0.00       47        2        0       48
   15 103    27    10184     1813     1.64     0.00       84       15     0.01     0.00       53        3        0       56
   15 104    28    11799     2219     1.91     0.00       95       17     0.01     0.00       61        3        0       65
   15 105    29    11964     2375     2.04     0.00      107       19     0.01     0.00       70        4        0       75
   15 106    30    12642     2719     2.08     0.00      120       22     0.01     0.00       80        5        0       86
   15 107    31    13362     3063     2.05     0.00      133       25     0.01     0.00       91        6        0       98
   15 108    32    15722     2625     0.59     0.00      149       28     0.01     0.00      101        7        0      108
   15 109    33    13841     2000     1.34     0.00      163       30     0.02     0.00      108        7        0      116
   15 110    34    11574     1594     1.79     0.00      175       31     0.02     0.00      114        8        0      122
   15 111    35     8559     1344     1.63     0.00      183       32     0.02     0.00      119        9        0      128
   15 112    36     6175     1031     1.47     0.00      189       34     0.02     0.00      123       10        0      132
   15 113    37     5932     1125     1.33     0.00      195       35     0.02     0.00      127       10        0      137
   15 114    38     6069     1250     1.20     0.00      201       36     0.02     0.00      132       11        0      142
   15 115    39     7011     1469     1.09     0.00      208       37     0.02     0.00      137       11        0      148
   15 116    40     7989     1781     0.96     0.00      216       39     0.02     0.00      144       12        0      155
   15 117    41     9666     2219     0.85     0.00      226       41     0.03     0.00      152       12        0      164
   15 118    42    11879     2344     0.71     0.00      238       44     0.03     0.00      160       12        0      173
   15 119    43    12925     2500     0.37     0.00      251       46     0.03     0.00      170       13        0      182
   15 120    44    12177     2188     0.54     0.00      263       48     0.03     0.00      178       13        0      190
   15 121    45    11683     2156     0.52     0.00      275       51     0.03     0.00      185       13        0      199
   15 122    46     7786     1938     0.17     0.00      282       52     0.03     0.00      193       13        0      206
   15 123    47     6517     1563     0.24     0.00      289       54     0.03     0.00      198       13        0      212
   15 124    48     7723     2094     0.15     0.00      297       56     0.03     0.00      206       13        0      219
   15 125    49    11907     2844     0.28     0.00      309       59     0.03     0.00      216       13        0      230
   15 126    50    14656     3719     0.23     0.00      323       63     0.03     0.00      230       14        0      244
   15 127    51    14209     4281     0.13     0.00      337       67     0.03     0.00      246       14        0      259
   15 128    52    16093     4438     0.24     0.00      353       71     0.03     0.00      262       14        0      276
   15 129    53    17042     4531     0.29     0.00      371       76     0.03     0.00      279       14        0      293
   15 130    54    15279     4344     0.22     0.00      386       80     0.03     0.00      295       14        0      309
   15 131    55    13161     3969     0.27     0.00      399       84     0.03     0.00      309       14        0      323
   15 132    56    13240     4313     0.27     0.00      412       89     0.03     0.00      325       14        0      339
   15 133    57    14184     4938     0.27     0.00      426       94     0.03     0.00      343       14        0      358
   15 134    58    15147     5094     0.23     0.00      442       99     0.03     0.00      362       14        0      376
   15 135    59    14717     5375     0.29     0.00      456      104     0.03     0.00      382       15        0      396
   15 136    60    13905     5219     0.29     0.00      470      109     0.03     0.00      401       15        0      415
   15 137    61    13481     5125     0.30     0.00      484      114     0.03     0.00      420       15        0      434
   15 138    62    12401     4750     0.31     0.00      496      119     0.03     0.00      437       15        0      452
   15 139    63    11331     4406     0.32     0.00      507      123     0.03     0.00      453       15        0      468
   15 140    64    11880     4281     0.12     0.00      519      128     0.03     0.00      469       15        0      484
   15 141    65    10471     4156     0.11     0.00      530      132     0.03     0.00      484       15        0      499
   15 142    66    10045     3750     0.17     0.00      540      136     0.03     0.00      498       15        0      513
   15 143    67     9307     3344     0.26     0.00      549      139     0.03     0.00      510       15        0      526
   15 144    68     8017     2875     0.21     0.00      557      142     0.03     0.00      521       16        0      536
   15 145    69     7458     2688     0.26     0.00      565      145     0.03     0.00      531       16        0      546
   15 146    70     8989     3438     0.33     0.00      574      148     0.03     0.00      543       16        0      559
   15 147    71     9502     3656     0.37     0.00      583      152     0.03     0.00      557       16        0      573
   15 148    72     9353     3563     0.37     0.00      592      155     0.03     0.00      570       16        0      586
   15 149    73     9478     3719     0.37     0.00      602      159     0.03     0.00      583       16        0      600
   15 150    74    10314     4125     0.37     0.00      612      163     0.04     0.00      598       17        0      615
   15 151    75    10433     4219     0.37     0.00      623      167     0.04     0.00      614       17        0      631
   15 152    76    11211     4688     0.37     0.00      634      172     0.04     0.00      631       17        0      648
   15 153    77    13626     5625     1.42     0.00      647      178     0.04     0.00      652       18        0      669
   15 154    78    15055     6500     2.21     0.00      663      184     0.04     0.00      676       19        0      694
   15 155    79    15760     7156     2.69     0.00      678      191     0.04     0.00      702       20        0      722
   15 156    80    16160     7781     2.96     0.00      694      199     0.05     0.00      730       21        0      752
   15 157    81    16861     8438     3.02     0.00      711      207     0.05     0.00      761       23        0      784
   15 158    82    18179     8813     2.66     0.00      729      216     0.05     0.00      794       24        0      818
   15 159    83    17606     8938     2.47     0.00      747      225     0.05     0.00      827       25        0      852
   15 160    84    19542     8406     0.71     0.00      767      234     0.05     0.00      857       25        0      883
   15 161    85    18012     7563     1.30     0.00      785      241     0.06     0.00      885       26        0      911
   15 162    86    16125     6781     1.50     0.00      801      248     0.06     0.00      910       27        0      937
   15 163    87    15024     6469     1.54     0.00      816      254     0.06     0.00      934       27        0      961
   15 164    88    14271     6500     1.35     0.00      830      261     0.06     0.00      958       28        0      986
   15 165    89    14698     6906     0.55     0.00      845      268     0.06     0.00      983       28        0     1011
   15 166    90    15669     8000     0.44     0.00      860      276     0.06     0.00     1012       29        0     1041
   15 167    91    15689     8156     0.40     0.00      876      284     0.06     0.00     1042       29        0     1071
   15 168    92    15814     7688     0.65     0.00      892      292     0.06     0.00     1070       29        0     1100
   15 169    93    14684     7031     0.81     0.00      907      299     0.06     0.00     1096       29        0     1126
   15 170    94    12461     6375     0.28     0.00      919      305     0.06     0.00     1120       30        0     1149
   15 171    95    11113     5531     0.51     0.00      930      311     0.06     0.00     1140       30        0     1170
   15 172    96    10631     5250     0.61     0.00      941      316     0.06     0.00     1159       30        0     1189
   15 173    97    10172     5094     0.63     0.00      951      321     0.06     0.00     1178       30        0     1208
   15 174    98     9923     5250     0.20     0.00      961      326     0.07     0.00     1197       30        0     1228
   15 175    99     9869     5250     0.27     0.00      971      331     0.07     0.00     1216       31        0     1247
   15 176   100    10335     5313     0.43     0.00      981      337     0.07     0.00     1236       31        0     1267
   15 177   101    10789     5563     0.52     0.00      992      342     0.07     0.00     1256       31        0     1287
   15 178   102    11244     6000     0.47     0.00     1003      348     0.07     0.00     1278       31        0     1310
   15 179   103    11316     6344     0.43     0.00     1014      355     0.07     0.00     1302       31        0     1333
   15 180   104    12112     6969     0.40     0.00     1027      362     0.07     0.00     1327       32        0     1359
   15 181   105    12799     7625     0.38     0.00     1039      369     0.07     0.00     1355       32        0     1387
   15 182   106    13664     8438     0.37     0.00     1053      378     0.07     0.00     1386       32        0     1418
   15 183   107    13661     8813     0.36     0.00     1067      387     0.07     0.00     1419       32        0     1451
   15 184   108    13541     9031     1.93     0.00     1080      396     0.07     0.00     1452       33        0     1485
   15 185   109    13504     9250     2.91     0.00     1094      405     0.07     0.00     1486       34        0     1520
   15 186   110    13469     9438     3.42     0.00     1107      414     0.08     0.00     1520       36        0     1556
   15 187   111    13184     9469     3.49     0.00     1120      424     0.08     0.00     1555       38        0     1593
   15 188   112    12549     9344     3.02     0.00     1133      433     0.08     0.00     1589       39        0     1628
   15 189   113    13765     9469     2.34     0.00     1147      443     0.09     0.00     1624       40        0     1664
   15 190   114    13821     8813     1.91     0.00     1161      451     0.09     0.00     1656       41        0     1697
   15 191   115    11926     7688     1.69     0.00     1172      459     0.09     0.00     1685       42        0     1726
   15 192   116     9980     6781     1.45     0.00     1182      466     0.09     0.00     1710       43        0     1752
   15 193   117     8698     6156     1.27     0.00     1191      472     0.09     0.00     1732       43        0     1775
   15 194   118     7349     5469     1.13     0.00     1198      477     0.09     0.00     1752       44        0     1796
   15 195   119     7210     5375     0.96     0.00     1206      483     0.09     0.00     1772       44        0     1816
   15 196   120     7650     5750     0.85     0.00     1213      489     0.10     0.00     1793       44        0     1838
   15 197   121     7979     6219     0.76     0.00     1221      495     0.10     0.00     1816       45        0     1861
   15 198   122     7904     6281     0.68     0.00     1229      501     0.10     0.00     1839       45        0     1884
   15 199   123     7655     6250     0.61     0.00     1237      507     0.10     0.00     1862       45        0     1907
   15 200   124     7404     6125     0.55     0.00     1244      513     0.10     0.00     1884       46        0     1930
   15 201   125     7157     6156     0.50     0.00     1251      520     0.10     0.00     1907       46        0     1953
   15 202   126     6938     6000     0.46     0.00     1258      526     0.10     0.00     1929       46        0     1975
   15 203   127     6771     6000     0.43     0.00     1265      532     0.10     0.00     1951       46        0     1997
   15 204   128     6391     5781     0.40     0.00     1272      537     0.10     0.00     1972       47        0     2019
   15 205   129     6250     5500     0.37     0.00     1278      543     0.10     0.00     1992       47        0     2039
   15 206   130     6049     5469     0.35     0.00     1284      548     0.10     0.00     2012       47        0     2059
   15 207   131     5538     5094     0.34     0.00     1289      553     0.10     0.00     2031       47        0     2078
   15 208   132     4861     4469     0.33     0.00     1294      558     0.10     0.00     2048       47        0     2095
   15 209   133     5032     4156     0.29     0.00     1299      562     0.10     0.00     2063       47        0     2110
   15 210   134     4663     3969     0.30     0.00     1304      566     0.10     0.00     2077       47        0     2125
   15 211   135     4246     3625     0.30     0.00     1308      570     0.10     0.00     2091       48        0     2138
   15 212   136     3797     3406     0.30     0.00     1312      573     0.10     0.00     2103       48        0     2151
   15 213   137     3766     3313     0.30     0.00     1316      576     0.10     0.00     2115       48        0     2163
   15 214   138     3658     3375     0.30     0.00     1319      580     0.10     0.00     2128       48        0     2176
   15 215   139     3699     3375     0.30     0.00     1323      583     0.10     0.00     2140       48        0     2188
   15 216   140     3929     3656     0.30     0.00     1327      587     0.10     0.00     2153       48        0     2202
   15 217   141     4284     3969     0.30     0.00     1331      591     0.10     0.00     2168       48        0     2217
   15 218   142     4507     4281     0.30     0.00     1336      595     0.10     0.00     2184       49        0     2232
   15 219   143     4856     4594     0.30     0.00     1341      600     0.10     0.00     2201       49        0     2249
   15 220   144     5173     4906     0.30     0.00     1346      605     0.10     0.00     2219       49        0     2268
   15 221   145     5573     5125     0.29     0.00     1351      610     0.10     0.00     2237       49        0     2286
   15 222   146     5668     5313     0.29     0.00     1357      615     0.11     0.00     2257       49        0     2306
   15 223   147     5730     5375     0.29     0.00     1363      620     0.11     0.00     2277       49        0     2326
   15 224   148     5738     5531     0.30     0.00     1369      626     0.11     0.00     2297       49        0     2346
   15 225   149     5684     5344     0.30     0.00     1374      631     0.11     0.00     2317       50        0     2366
   15 226   150     5633     5375     0.30     0.00     1380      637     0.11     0.00     2336       50        0     2386
   15 227   151     6679     5563     0.26     0.00     1387      642     0.11     0.00     2357       50        0     2407
   15 228   152     6342     5469     0.28     0.00     1393      648     0.11     0.00     2377       50        0     2427
   15 229   153     7114     5156     0.26     0.00     1400      653     0.11     0.00     2396       50        0     2446
   15 230   154     6485     4781     0.18     0.00     1406      658     0.11     0.00     2413       50        0     2463
   15 231   155     6058     4375     0.29     0.00     1413      662     0.11     0.00     2429       50        0     2480
   15 232   156     5275     3969     0.30     0.00     1418      666     0.11     0.00     2444       50        0     2494
   15 233   157     4864     3719     0.30     0.00     1423      670     0.11     0.00     2458       51        0     2508
   15 234   158     4656     3688     0.31     0.00     1427      673     0.11     0.00     2471       51        0     2522
   15 235   159     4711     3813     0.31     0.00     1432      677     0.11     0.00     2485       51        0     2536
   15 236   160     5142     4000     0.31     0.00     1437      681     0.11     0.00     2500       51        0     2551
   15 237   161     8160     4719     0.14     0.00     1445      686     0.11     0.00     2517       51        0     2568

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  NOV 27, 2025 15:48:13

*RUN   2        : 2                         WHAPS048 TUDU1501    2
 MODEL          : WHAPS048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  2   : 2                         WHAPS048
  
!               |---------- Daily (g/ha) ----------|------- Cumulative (kg/ha) --------|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!               Soil CO2  Net CO2      N2O      CH4 Soil CO2  Net CO2      N2O      CH4  Net CO2      N2O      CH4    Total
!                g[C]/ha  g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   CO2END   N2OGED   CH4GED    CO2EC   CO2ENC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
   15 077     1    12360     1656     0.01     0.00       12        2     0.00     0.00        6        0        0        6
   15 078     2    10520     1563     0.01     0.00       23        3     0.00     0.00       12        0        0       12
   15 079     3     8247     1344     0.01     0.00       31        5     0.00     0.00       17        0        0       17
   15 080     4     5896     1031     0.02     0.00       37        6     0.00     0.00       21        0        0       21
   15 081     5     3784      688     0.02     0.00       41        6     0.00     0.00       23        0        0       23
   15 082     6      820      250     0.02     0.00       42        7     0.00     0.00       24        0        0       24
   15 083     7      130        0     0.02     0.00       42        7     0.00     0.00       24        0        0       24
   15 084     8      146       94     0.03     0.00       42        7     0.00     0.00       24        0        0       24
   15 085     9      675      250     0.03     0.00       43        7     0.00     0.00       25        0        0       25
   15 086    10      786      219     0.03     0.00       43        7     0.00     0.00       26        0        0       26
   15 087    11     1747      406     0.03     0.00       45        8     0.00     0.00       28        0        0       28
   15 088    12     2845      656     0.04     0.00       48        8     0.00     0.00       30        0        0       30
   15 089    13     3816      813     0.04     0.00       52        9     0.00     0.00       33        0        0       33
   15 090    14     3348      531     0.03     0.00       55       10     0.00     0.00       35        0        0       35
   15 091    15     3989      656     0.03     0.00       59       10     0.00     0.00       37        0        0       37
   15 092    16     2686      469     0.03     0.00       62       11     0.00     0.00       39        0        0       39
   15 093    17     1332      281     0.02     0.00       63       11     0.00     0.00       40        0        0       40
   15 094    18       74        0     0.04     0.00       63       11     0.00     0.00       40        0        0       40
   15 095    19       14       31     0.03     0.00       63       11     0.00     0.00       40        0        0       40
   15 096    20        0        0     0.05     0.00       63       11     0.00     0.00       40        0        0       40
   15 097    21        0        0     0.06     0.00       63       11     0.00     0.00       40        0        0       40
   15 098    22        0        0     0.06     0.00       63       11     0.00     0.00       40        0        0       40
   15 099    23        0        0     0.39     0.00       63       11     0.00     0.00       40        0        0       41
   15 100    24       73       31     0.69     0.00       63       11     0.00     0.00       40        1        0       41
   15 101    25     3161      563     0.96     0.00       66       12     0.00     0.00       42        1        0       44
