Treatment,Nitrogen_Applied_kg_ha,Yield_Simulated_kg_ha,Biomass_Simulated_kg_ha,Harvest_Index_Simulated,Grain_Weight_Simulated_mg,Grain_Number_Simulated,Grain_Nitrogen_Simulated_kg_ha,Yield_Observed_kg_ha,Yield_Observed_Std,Yield_Observed_n,Grain_Weight_Observed_mg,Grain_Weight_Observed_Std,Grain_Nitrogen_Observed_kg_ha,Grain_Nitrogen_Observed_Std,Harvest_Date_Observed,Yield_Difference_kg_ha,Yield_Error_Percent,Grain_Weight_Difference_mg,Grain_Weight_Error_Percent,Grain_Nitrogen_Difference_kg_ha,Grain_Nitrogen_Error_Percent
1,120,5973.0,11265.0,0.53,50.3,11881.0,113.1,6335.75,783.0604622249805,4,39.75,2.0463381929681126,126.75,18.659782956937093,17219,-362.75,-5.7254468689578975,10.549999999999997,26.54088050314465,-13.650000000000006,-10.769230769230774
2,120,6018.0,11402.0,0.528,49.7,12098.0,114.2,7389.75,830.6691203481685,4,40.75,1.7853571071357126,149.75,17.68297203526602,17219,-1371.75,-18.562874251497004,8.950000000000003,21.963190184049086,-35.55,-23.73956594323873
3,40,3063.0,5474.0,0.56,50.2,6108.0,56.7,7128.5,741.6999056222132,4,40.75,1.0897247358851685,132.75,18.619546181365433,17219,-4065.5,-57.03163358350284,9.450000000000003,23.19018404907976,-76.05,-57.28813559322033
4,120,6004.0,11367.0,0.528,49.8,12058.0,113.8,8173.5,201.33367825577517,4,41.0,0.7071067811865476,168.0,6.670832032063167,17219,-2169.5,-26.543096592646968,8.799999999999997,21.463414634146336,-54.2,-32.261904761904766
5,120,6629.0,13237.0,0.501,46.0,14396.0,117.4,8499.0,629.3826340152706,4,41.5,0.5,166.25,13.423393758658799,17219,-1870.0,-22.002588539828217,4.5,10.843373493975903,-48.849999999999994,-29.38345864661654
6,120,5989.0,11328.0,0.529,49.9,12010.0,113.3,6538.75,870.0285555658504,4,39.0,1.0,125.5,19.241881404893856,17219,-549.75,-8.40757025425349,10.899999999999999,27.948717948717945,-12.200000000000003,-9.721115537848608
7,120,6632.0,13291.0,0.499,45.7,14508.0,120.1,8045.5,411.6810051484037,4,41.5,1.118033988749895,164.75,13.5531361684298,17219,-1413.5,-17.568827294761046,4.200000000000003,10.12048192771085,-44.650000000000006,-27.101669195751143
8,180,7076.0,14824.0,0.477,43.1,16407.0,150.2,8822.0,372.5701276270012,4,40.25,0.4330127018922193,204.25,11.648497757221744,17219,-1746.0,-19.791430514622537,2.8500000000000014,7.080745341614911,-54.05000000000001,-26.462668298653618
9,180,7070.0,14939.0,0.473,42.4,16677.0,152.0,9401.5,813.5860433906176,4,41.25,1.299038105676658,216.5,31.028212968200407,17219,-2331.5,-24.799234164760943,1.1499999999999986,2.7878787878787845,-64.5,-29.79214780600462
10,60,3063.0,5474.0,0.56,50.2,6108.0,56.8,8909.25,686.7104102167084,4,40.75,0.4330127018922193,199.25,22.92787604642,17219,-5846.25,-65.62000168364341,9.450000000000003,23.19018404907976,-142.45,-71.4930991217064
11,180,7066.0,14918.0,0.474,42.5,16638.0,151.7,9877.0,52.730446612938906,4,39.25,1.479019945774904,239.5,4.6097722286464435,17219,-2811.0,-28.460058722284092,3.25,8.280254777070063,-87.80000000000001,-36.65970772442589
12,180,7076.0,14848.0,0.477,43.0,16456.0,150.6,9744.5,541.3337694990032,4,41.0,1.224744871391589,229.25,28.083580612165537,17219,-2668.5,-27.384678536610394,2.0,4.878048780487805,-78.65,-34.30752453653218
13,180,7052.0,14859.0,0.475,42.6,16574.0,150.4,8274.75,796.0177055191674,4,39.25,0.4330127018922193,182.0,27.367864366808018,17219,-1222.75,-14.776881476781774,3.3500000000000014,8.535031847133762,-31.599999999999994,-17.362637362637358
14,180,6697.0,13417.0,0.499,45.6,14687.0,135.2,9467.5,150.46012760861265,4,40.75,1.0897247358851685,225.5,6.103277807866851,17219,-2770.5,-29.263269078426195,4.850000000000001,11.90184049079755,-90.30000000000001,-40.044345898004444
15,0,2833.0,5244.0,0.54,46.4,6108.0,43.2,2552.625,527.0827585635865,8,36.25,0.82915619758885,43.0,9.096702699330127,17219,280.375,10.983791195338133,10.149999999999999,27.999999999999996,0.20000000000000284,0.46511627906977404
