*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  NOV 27, 2025 15:48:48

*RUN   1        : 1                         WHAPS048 TUDU1701    1
 MODEL          : WHAPS048 - Wheat
 EXPERIMENT     : TUDU1701 WH
 DATA PATH      :
 TREATMENT  1   : 1                         WHAPS048
  
!              |------------------------------ Cumulative -----------------------------|------------------------------ Daily ----------------------------------|
!               N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                                   Nitrification (g[N]/ha) by soil depth (cm):                                     N2O flux (g[N]/ha) by soil depth (cm):                                          N2 flux (g[N]/ha) by soil depth (cm):                                           NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210
@YEAR DOY   DAS   N2OEC    N2EC    NOEC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC  N2OGED   N2GED   NOGED    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NDN10   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   NIT10   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2O10   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   N2F10   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   NOF10
   16 298     1    0.00    0.00    0.00    0.00     1.4   0.000   0.001   0.000   0.007     0.0     0.0     0.1     0.0    1430    0.00    1.43    0.00    7.01     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     24.     52.     27.     56.     50.     60.     62.     64.    135.    142.     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.6     0.3     0.5     0.3     0.4     0.3     0.3     0.6     0.5
   16 299     2    0.00    0.00    0.00    0.00     2.6   0.000   0.003   0.000   0.012     0.0     0.0     0.1     0.0    1212    0.00    1.21    0.00    4.62     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     17.     39.     23.     48.     44.     51.     53.     55.    115.    121.     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.4     0.2     0.3     0.2     0.3     0.2     0.2     0.4     0.4
   16 300     3    0.00    0.00    0.00    0.00     3.7   0.000   0.004   0.000   0.015     0.0     0.0     0.1     0.0    1017    0.00    1.02    0.00    3.12     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     13.     27.     19.     40.     38.     42.     44.     46.     97.    102.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.1     0.2     0.2     0.2     0.2     0.2     0.3     0.3
   16 301     4    0.00    0.00    0.00    0.00     4.5   0.000   0.004   0.000   0.017     0.0     0.0     0.2     0.0     830    0.00    0.83    0.00    2.06     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     10.     17.     15.     32.     31.     34.     36.     38.     78.     83.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2     0.2
   16 302     5    0.00    0.00    0.00    0.00     5.2   0.000   0.005   0.000   0.018     0.0     0.0     0.2     0.0     678    0.00    0.68    0.00    1.36     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      6.     10.     12.     26.     29.     27.     29.     30.     63.     68.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.1
   16 303     6    0.00    0.00    0.00    0.00     5.7   0.000   0.006   0.000   0.019     0.0     0.0     0.2     0.0     554    0.00    0.55    0.00    0.89     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      4.      6.     10.     21.     23.     22.     24.     25.     51.     55.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.1     0.1
   16 304     7    0.00    0.00    0.00    0.00     6.2   0.000   0.006   0.000   0.020     0.0     0.0     0.2     0.0     465    0.00    0.46    0.00    0.60     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      3.      4.      8.     17.     19.     18.     20.     21.     43.     46.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1
   16 305     8    0.00    0.00    0.00    0.00     6.6   0.000   0.007   0.000   0.020     0.0     0.0     0.2     0.0     395    0.00    0.39    0.00    0.47     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      2.      2.      7.     14.     16.     15.     17.     18.     36.     39.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   16 306     9    0.00    0.00    0.00    0.00     6.9   0.000   0.007   0.000   0.021     0.0     0.0     0.2     0.0     348    0.00    0.35    0.00    0.42     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      2.      2.      6.     13.     14.     13.     15.     15.     32.     35.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   16 307    10    0.00    0.00    0.00    0.00     7.2   0.000   0.007   0.000   0.021     0.0     0.0     0.2     0.0     307    0.00    0.31    0.00    0.37     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      2.      1.      5.     11.     13.     12.     13.     14.     28.     31.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
