*Soil Carbon Balance Summary

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  NOV 27, 2025 15:48:48
!                             <----------------- Initial State Variables ----------------><------------------ Final State Variables -----------------><----------- Added ----------><---------------- Lost ---------------->
!                             <-------- SOM-C -------><-------- FOM-C -------><-----CH4--><-------- SOM-C -------><-------- FOM-C -------><-----CH4--><---OM---><Senesced><-HarvRes><----------------- GHG ----------------><--Balance->
!                                     Surf        Soil        Surf        Soil     Storage        Surf        Soil        Surf        Soil     Storage 
@Run FILEX               TN CR       SC0Di      SOMCTi       LC0Di       LCTDi     CH4STDi        SC0D       SOMCT        LC0D        LCTD      CH4STD      OMAC     SENCC      HRCH     CO2EC     CH4EC    CH4LCC    CH4COC      CUMBAL
   1 TUDU1701.WHX         1 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309428.94        0.00      326.98        0.00      0.00      0.00      0.00   1349.69      0.00      0.00      0.00      0.0073
   2 TUDU1701.WHX         2 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309432.38        0.00      329.69        0.00      0.00      0.00      0.00   1343.49      0.00      0.00      0.00     -0.0404
   3 TUDU1701.WHX         3 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309307.47        0.00      255.86        0.00      0.00      0.00      0.00   1542.24      0.00      0.00      0.00     -0.0050
   4 TUDU1701.WHX         4 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309432.19        0.00      329.45        0.00      0.00      0.00      0.00   1343.98      0.00      0.00      0.00      0.0395
   5 TUDU1701.WHX         5 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309453.56        0.00      349.77        0.00      0.00      0.00      0.00   1302.23      0.00      0.00      0.00     -0.0208
   6 TUDU1701.WHX         6 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309431.44        0.00      329.10        0.00      0.00      0.00      0.00   1345.07      0.00      0.00      0.00      0.0060
   7 TUDU1701.WHX         7 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309455.22        0.00      352.45        0.00      0.00      0.00      0.00   1297.89      0.00      0.00      0.00     -0.0465
   8 TUDU1701.WHX         8 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309465.12        0.00      361.62        0.00      0.00      0.00      0.00   1278.85      0.00      0.00      0.00      0.0068
   9 TUDU1701.WHX         9 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309468.81        0.00      363.77        0.00      0.00      0.00      0.00   1273.00      0.00      0.00      0.00     -0.0046
  10 TUDU1701.WHX        10 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309307.47        0.00      255.87        0.00      0.00      0.00      0.00   1542.24      0.00      0.00      0.00     -0.0113
  11 TUDU1701.WHX        11 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309468.81        0.00      363.35        0.00      0.00      0.00      0.00   1273.39      0.00      0.00      0.00     -0.0429
  12 TUDU1701.WHX        12 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309465.97        0.00      361.93        0.00      0.00      0.00      0.00   1277.66      0.00      0.00      0.00     -0.0297
  13 TUDU1701.WHX        13 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309468.09        0.00      363.72        0.00      0.00      0.00      0.00   1273.77      0.00      0.00      0.00     -0.0159
  14 TUDU1701.WHX        14 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309455.75        0.00      352.86        0.00      0.00      0.00      0.00   1296.98      0.00      0.00      0.00     -0.0164
  15 TUDU1701.WHX        15 WH        0.00   310025.59        0.00     1080.00        0.00        0.00   309301.09        0.00      253.52        0.00      0.00      0.00      0.00   1551.02      0.00      0.00      0.00      0.0534
