
*SOIL N BALANCE - CENTURY ROUTINES

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  NOV 27, 2025 15:48:48

!                              |--------------- Initial N State Variables ----------------|----------------- Final N State Variables -----------------|------------- N Additions -------------|---------------- N Subtractions -----------------|--Mineralization---|----- Seasonal Balance -----|
!                              |----------------- Organic ----------------------|         |------------------ Organic ----------------------|         |  Harvest   Applied                    |              Tile-     Plant     N gas     Flood|   Miner-    Immob-|                            |
!                              | Surface      SOM1      SOM2      SOM3    Litter     Inorg|  Surface      SOM1      SOM2      SOM3    Litter     Inorg|  Residue   Residue  Fertiliz   Senesed|  Leached   drained    Uptake    Losses    Losses|   alized    ilized|Inorganic   Organic   Overall
@Run FILEX               TN CR     SN0Di    S1NTDi    S2NTDi    S3NTDi     LNTDi     NIADi      SN0D     S1NTD     S2NTD     S3NTD      LNTD      NIAD      HRNH     RESNC      NICM     SNNTC      NLCM      TDFC      NUCM     NGasC      RNRO      NMNC      NIMC    InNBal   OrgNBal     SNBAL
   1 TUDU1701.WHX         1 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16836.03      0.00     12.99     70.88      0.00      0.00    120.00      0.00     22.47      0.00    167.22      5.17      0.00     43.59      0.43      0.00      0.00      0.00
   2 TUDU1701.WHX         2 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16836.20      0.00     13.07     73.59      0.00      0.00    120.00      0.00     22.44      0.00    168.90      0.58      0.00     43.34      0.43      0.00      0.00      0.00
   3 TUDU1701.WHX         3 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16830.64      0.00     10.84     89.45      0.00      0.00     40.00      0.00     22.56      0.00     79.28      2.00      0.00     51.06      0.36      0.00      0.00      0.00
   4 TUDU1701.WHX         4 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16836.18      0.00     13.06     72.27      0.00      0.00    120.00      0.00     22.46      0.00    168.34      2.46      0.00     43.36      0.43      0.00      0.00      0.00
   5 TUDU1701.WHX         5 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16837.26      0.00     13.66     64.19      0.00      0.00    120.00      0.00     21.24      0.00    176.45      1.96      0.00     41.68      0.43     -0.00      0.00     -0.00
   6 TUDU1701.WHX         6 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16836.15      0.00     13.06     71.06      0.00      0.00    120.00      0.00     22.48      0.00    167.44      4.59      0.00     43.40      0.43     -0.00      0.00      0.00
   7 TUDU1701.WHX         7 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16837.36      0.00     13.74     61.69      0.00      0.00    120.00      0.00     21.22      0.00    178.77      1.99      0.00     41.51      0.43     -0.00      0.00     -0.00
   8 TUDU1701.WHX         8 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16837.88      0.00     13.99     74.97      0.00      0.00    180.00      0.00     19.67      0.00    223.15      5.11      0.00     40.74      0.43     -0.00     -0.00     -0.00
   9 TUDU1701.WHX         9 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16838.07      0.00     14.04     76.69      0.00      0.00    180.00      0.00     19.58      0.00    225.58      0.81      0.00     40.49      0.43     -0.00      0.00      0.00
  10 TUDU1701.WHX        10 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16830.64      0.00     10.84    109.10      0.00      0.00     60.00      0.00     22.56      0.00     79.41      2.22      0.00     51.06      0.36      0.00      0.00      0.00
  11 TUDU1701.WHX        11 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16838.07      0.00     14.03     75.47      0.00      0.00    180.00      0.00     19.59      0.00    225.03      2.58      0.00     40.51      0.43      0.00      0.00      0.00
  12 TUDU1701.WHX        12 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16837.92      0.00     14.00     76.41      0.00      0.00    180.00      0.00     19.65      0.00    223.68      3.11      0.00     40.69      0.43     -0.00      0.00     -0.00
  13 TUDU1701.WHX        13 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16838.04      0.00     14.05     74.80      0.00      0.00    180.00      0.00     19.67      0.00    223.53      4.68      0.00     40.53      0.43     -0.00      0.00     -0.00
  14 TUDU1701.WHX        14 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16837.29      0.00     13.75     99.01      0.00      0.00    180.00      0.00     21.22      0.00    200.58      2.92      0.00     41.57      0.43     -0.00      0.00     -0.00
  15 TUDU1701.WHX        15 WH      0.00      0.00  16872.67      0.00     19.50    102.59      0.00      0.00  16830.35      0.00     10.77     64.47      0.00      0.00      0.00      0.00     22.56      0.00     66.52      0.11      0.00     51.43      0.36     -0.00      0.00      0.00
